Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2303026;Bimbila;Bimbila;Bambilla,Bimbila,Bimbilla;P;PPL;GH;Ghana;;06;808;;;34262;;212;Africa/Accra;2023-12-01;Ghana;8.85488, 0.05922
2295663;Saman;Saman;Saaman,Saman;P;PPL;GH;Ghana;;05;512;;;9000;;230;Africa/Accra;2026-01-07;Ghana;6.32388, -0.50063
11428216;Lashibi;Lashibi;;P;PPL;GH;Ghana;;01;307;;;49223;;24;Africa/Accra;2023-12-01;Ghana;5.68476, -0.04011
2294877;Tamale;Tamale;TML,Tamale,Тамале;P;PPLA;GH;Ghana;;06;811;;;464316;;196;Africa/Accra;2023-12-01;Ghana;9.40079, -0.8393
2299236;Kpandae;Kpandae;Kpandae,Kpandai;P;PPLA2;GH;Ghana;;06;806;;;8652;;183;Africa/Accra;2019-12-05;Ghana;8.46885, -0.01127
2300379;Ho;Ho;Ho,Hohoe,Kho,No,ho,hw. ghna,Но,Хо,هو٬ غنا,ہو، گھانا,ホ,호;P;PPLA;GH;Ghana;;08;408;;;130701;;171;Africa/Accra;2023-12-01;Ghana;6.60084, 0.4713
2294206;Wa;Wa;Va,WZA,Wa,wa,Ва,وا، گھانا,วา,와;P;PPLA;GH;Ghana;;11;1002;;;78107;;326;Africa/Accra;2019-12-08;Ghana;10.06069, -2.50192
2299945;Kade;Kade;Kade;P;PPL;GH;Ghana;;05;514;;;30233;;144;Africa/Accra;2023-12-01;Ghana;6.09392, -0.83599
2300372;Hohoe;Hohoe;Chochoe,Chokhoe,Hohoe,Khokhoe;P;PPLA2;GH;Ghana;;08;411;;;92076;;173;Africa/Accra;2023-12-01;Ghana;7.15181, 0.47362
2304421;Anyinam;Anyinam;;P;PPL;GH;Ghana;;05;517;;;29748;;179;Africa/Accra;2026-01-07;Ghana;6.38158, -0.54932
11467879;Assin Foso;Assin Foso;;P;PPL;GH;Ghana;;04;215;;;37230;;107;Africa/Accra;2023-12-01;Ghana;5.7, -1.65
12640505;Mandela;Mandela;;P;PPL;GH;Ghana;;01;301;;;77371;;75;Africa/Accra;2023-12-01;Ghana;5.55221, -0.33912
2294938;Tafo;Tafo;Old Tafo,Tafo;P;PPL;GH;Ghana;;02;614;;;50457;;292;Africa/Accra;2019-12-06;Ghana;6.73156, -1.6137
2297432;New Tafo;New Tafo;New Tafo;P;PPL;GH;Ghana;;02;614;;;30380;;277;Africa/Accra;2023-12-01;Ghana;6.71897, -1.61188
2301184;Elubo;Elubo;;P;PPL;GH;Ghana;;09;101;;;23952;;72;Africa/Accra;2024-10-06;Ghana;5.28515, -2.76658
2306224;Aboso;Aboso;Aboso,Abosso,aboso,abwsw,Абосо,ابوسو,アボソ;P;PPL;GH;Ghana;;09;109;;;8790;;92;Africa/Accra;2019-12-06;Ghana;5.36073, -1.94856
7281088;Effiduase;Effiduase;Effiduase;P;PPL;GH;Ghana;;02;623;;;30486;;328;Africa/Accra;2023-12-01;Ghana;6.84684, -1.39612
